"id","zipcode","facility_name","facility_code"
"dhl_facility_49146",49146,"ZAMORA",49
"dhl_facility_49147",49147,"ZAMORA",49
"dhl_facility_49148",49148,"ZAMORA",49
"dhl_facility_49149",49149,"ZAMORA",49
"dhl_facility_49150",49150,"ZAMORA",49
"dhl_facility_49151",49151,"ZAMORA",49
"dhl_facility_49152",49152,"ZAMORA",49
"dhl_facility_49153",49153,"ZAMORA",49
"dhl_facility_49154",49154,"ZAMORA",49
"dhl_facility_49155",49155,"ZAMORA",49
"dhl_facility_49156",49156,"ZAMORA",49
"dhl_facility_49157",49157,"ZAMORA",49
"dhl_facility_49158",49158,"ZAMORA",49
"dhl_facility_49159",49159,"ZAMORA",49
"dhl_facility_49160",49160,"ZAMORA",49
"dhl_facility_49161",49161,"ZAMORA",49
"dhl_facility_49162",49162,"ZAMORA",49
"dhl_facility_49163",49163,"ZAMORA",49
"dhl_facility_49164",49164,"ZAMORA",49
"dhl_facility_49165",49165,"ZAMORA",49
"dhl_facility_49166",49166,"ZAMORA",49
"dhl_facility_49167",49167,"ZAMORA",49
"dhl_facility_49170",49170,"ZAMORA",49
"dhl_facility_49171",49171,"ZAMORA",49
"dhl_facility_49172",49172,"ZAMORA",49
"dhl_facility_49173",49173,"ZAMORA",49
"dhl_facility_49174",49174,"ZAMORA",49
"dhl_facility_49176",49176,"ZAMORA",49
"dhl_facility_49177",49177,"ZAMORA",49
"dhl_facility_49178",49178,"ZAMORA",49
"dhl_facility_49180",49180,"ZAMORA",49
"dhl_facility_49181",49181,"ZAMORA",49
"dhl_facility_49182",49182,"ZAMORA",49
"dhl_facility_49183",49183,"ZAMORA",49
"dhl_facility_49190",49190,"ZAMORA",49
"dhl_facility_49191",49191,"ZAMORA",49
"dhl_facility_49192",49192,"ZAMORA",49
"dhl_facility_49193",49193,"ZAMORA",49
"dhl_facility_49200",49200,"ZAMORA",49
"dhl_facility_49210",49210,"ZAMORA",49
"dhl_facility_49211",49211,"ZAMORA",49
"dhl_facility_49212",49212,"ZAMORA",49
"dhl_facility_49213",49213,"ZAMORA",49
"dhl_facility_49214",49214,"ZAMORA",49
"dhl_facility_49215",49215,"ZAMORA",49
"dhl_facility_49216",49216,"ZAMORA",49
"dhl_facility_49220",49220,"ZAMORA",49
"dhl_facility_49230",49230,"ZAMORA",49
"dhl_facility_49231",49231,"ZAMORA",49
"dhl_facility_49232",49232,"ZAMORA",49
"dhl_facility_49240",49240,"ZAMORA",49
"dhl_facility_49250",49250,"ZAMORA",49
"dhl_facility_49251",49251,"ZAMORA",49
"dhl_facility_49252",49252,"ZAMORA",49
"dhl_facility_49253",49253,"ZAMORA",49
"dhl_facility_49254",49254,"ZAMORA",49
"dhl_facility_49255",49255,"ZAMORA",49
"dhl_facility_49260",49260,"ZAMORA",49
"dhl_facility_49270",49270,"ZAMORA",49
"dhl_facility_49271",49271,"ZAMORA",49
"dhl_facility_49272",49272,"ZAMORA",49
"dhl_facility_49280",49280,"ZAMORA",49
"dhl_facility_49281",49281,"ZAMORA",49
"dhl_facility_49290",49290,"ZAMORA",49
"dhl_facility_49300",49300,"ZAMORA",49
"dhl_facility_49310",49310,"ZAMORA",49
"dhl_facility_49317",49317,"ZAMORA",49
"dhl_facility_49318",49318,"ZAMORA",49
"dhl_facility_49319",49319,"ZAMORA",49
"dhl_facility_49320",49320,"ZAMORA",49
"dhl_facility_49321",49321,"ZAMORA",49
"dhl_facility_49322",49322,"ZAMORA",49
"dhl_facility_49323",49323,"ZAMORA",49
"dhl_facility_49324",49324,"ZAMORA",49
"dhl_facility_49325",49325,"ZAMORA",49
"dhl_facility_49326",49326,"ZAMORA",49
"dhl_facility_49327",49327,"ZAMORA",49
"dhl_facility_49330",49330,"ZAMORA",49
"dhl_facility_49331",49331,"ZAMORA",49
"dhl_facility_49332",49332,"ZAMORA",49
"dhl_facility_49333",49333,"ZAMORA",49
"dhl_facility_49334",49334,"ZAMORA",49
"dhl_facility_49335",49335,"ZAMORA",49
"dhl_facility_49336",49336,"ZAMORA",49
"dhl_facility_49337",49337,"ZAMORA",49
"dhl_facility_49340",49340,"ZAMORA",49
"dhl_facility_49341",49341,"ZAMORA",49
"dhl_facility_49342",49342,"ZAMORA",49
"dhl_facility_49343",49343,"ZAMORA",49
"dhl_facility_49344",49344,"ZAMORA",49
"dhl_facility_49345",49345,"ZAMORA",49
"dhl_facility_49346",49346,"ZAMORA",49
"dhl_facility_49347",49347,"ZAMORA",49
"dhl_facility_49348",49348,"ZAMORA",49
"dhl_facility_49349",49349,"ZAMORA",49
"dhl_facility_49350",49350,"ZAMORA",49
"dhl_facility_49352",49352,"ZAMORA",49
"dhl_facility_49357",49357,"ZAMORA",49
"dhl_facility_49358",49358,"ZAMORA",49
"dhl_facility_49359",49359,"ZAMORA",49
"dhl_facility_49360",49360,"ZAMORA",49
"dhl_facility_49361",49361,"ZAMORA",49
